Time,tx_link,purpose,amount in ETH,amount in USD
2025-08-27,https://etherscan.io/tx/0x9755938b78cbd2f397840c87cbccc8a5a6401d17e97aec731be3a6e036ba9e93,Consulting,0.738,$1285.28
2025-08-26,https://etherscan.io/tx/0x30850e79cbb2f0312373901967164de0fc7eb4c788592c7fecfbfa350ab2fd44,Consulting,0.483,$792.06
2025-08-17,https://etherscan.io/tx/0xafd05ea5b12208d0d73ec1d1244cdb09fc1235fa6f39b4aac2070ac26a194518,Hosting,0.309,$1650.24
2025-08-14,https://etherscan.io/tx/0xd900e228de45657a509bb733b1aa289ee23bb7473c7a721189116066453c4840,Supplies,0.43,$1333.11
2025-08-11,https://etherscan.io/tx/0x915efae2c216a41e24ee092f8312a23bf28981067cae19841ad75e6bd84df100,Software,0.711,$654.43
2025-08-18,https://etherscan.io/tx/0xc1f3f633574b169b993474cf0985e5c1bd8176c10b1392d57c6d007b5cf4c8c5,Hosting,0.653,$1266.65
2025-08-07,https://etherscan.io/tx/0x1191701efb1d8ff94aa1c3406d9ad671fa7c2f240435418739ee6bbfc105b529,Travel,1.05,$530.43
2025-08-13,https://etherscan.io/tx/0x4110462d8833e51016c1576c900bb725da625c5c0c603c08c927c85c124677e4,Software,1.258,$1093.76
2025-08-14,https://etherscan.io/tx/0xcf0a834ed083a275b0c86e6d4cb77f2342a6d0bdb0b94aa0f8c17a5ed3029281,Consulting,0.308,$1259.47
2025-08-27,https://etherscan.io/tx/0x0a9e47cb7572e8ec3c3fcfacff3fc7ba5fb995fdebcb270292bc892600fc1c3a,Consulting,0.234,$555.87
